seed,detector,variant,view,rewrite,n_harm,recall,miss_mean_p,conf_miss,fpr,recall_swap_storm,recall_early_measure,auc,ece,dj_fpr
1,cnn,clean,L1,combined,184,0.9456521739130435,0.33422642946243286,0.005434782608695652,0.05263157894736842,0.9052631578947369,0.9887640449438202,,,
1,feat_gb,clean,L1,none,184,0.9945652173913043,0.10497944361252864,0.0,0.0,0.9894736842105263,1.0,1.0,0.003955080038183543,0.0
1,feat_gb,clean,L1,swap_to_3cx,184,0.9945652173913043,0.10497944361252864,0.0,0.0,0.9894736842105263,1.0,,,
1,feat_gb,clean,L1,identity_pad,184,0.9945652173913043,0.10497944361252864,0.0,0.0,0.9894736842105263,1.0,,,
1,feat_gb,clean,L1,cx_pad,184,0.9945652173913043,0.10497944361252864,0.0,0.0,0.9894736842105263,1.0,,,
1,feat_gb,clean,L1,decompose,184,0.9945652173913043,0.10497944361252864,0.0,0.0,0.9894736842105263,1.0,,,
1,feat_gb,clean,L1,relabel,184,0.9945652173913043,0.10497944361252864,0.0,0.021052631578947368,0.9894736842105263,1.0,,,
1,feat_gb,clean,L1,combined,184,0.9945652173913043,0.10497944361252864,0.0,0.021052631578947368,0.9894736842105263,1.0,,,
1,feat_gb,aug_loro,L1,swap_to_3cx,184,0.9782608695652174,0.23704986293790792,0.0,0.0,0.9578947368421052,1.0,,,
1,feat_gb,aug_loro,L1,identity_pad,184,0.9782608695652174,0.23704986293790792,0.0,0.0,0.9578947368421052,1.0,,,
1,feat_gb,aug_loro,L1,cx_pad,184,0.9782608695652174,0.23704986293790792,0.0,0.0,0.9578947368421052,1.0,,,
1,feat_gb,aug_loro,L1,decompose,184,0.9782608695652174,0.23704986293790792,0.0,0.0,0.9578947368421052,1.0,,,
1,feat_gb,aug_loro,L1,relabel,184,0.9891304347826086,0.09696415262930863,0.005434782608695652,0.010526315789473684,0.9789473684210527,1.0,,,
